Source	Target	Weight	to_first	time_diff	seq_diff	timestamp	tid
2	27	0.88869	False	28588	2	1350724	227
2	27	0.99832	False	403	2	1136229	4
2	28	1.	False	1	1	1135570	4
2	34	0.5	True	3354	2	2387093	1055
2	34	0.98611	False	3354	2	2387093	1055
2	36	0.99043	False	2305	1	1869255	640
2	36	0.5	True	30040	3	1256692	137
2	36	0.88345	False	30040	3	1256692	137
2	38	0.5	True	15365	2	1620695	439
2	38	0.93822	False	15365	2	1620695	439
2	38	0.5	True	3506	2	1201426	102
2	38	0.98548	False	3506	2	1201426	102
2	38	0.5	True	630	1	1182953	72
2	38	0.99737	False	630	1	1182953	72
2	38	0.5	True	615	1	1139833	13
2	38	0.99744	False	615	1	1139833	13
2	40	0.5	True	444	1	1140178	15
2	40	0.99815	False	444	1	1140178	15
2	41	0.5	True	226	1	1140271	17
2	41	0.99906	False	226	1	1140271	17
2	46	0.99478	False	1253	2	1192378	86
2	49	0.98841	False	2795	4	1192837	84
2	52	0.5	True	11633	2	1259704	151
2	52	0.95279	False	11633	2	1259704	151
2	58	0.5	True	52862	5	1203184	33
2	58	0.99861	False	334	1	1203184	33
2	58	0.87849	False	31423	2	1181408	20
2	58	0.5	True	29580	3	1179902	33
2	58	0.9039	False	24435	1	1179902	33
2	58	0.8851	False	29580	3	1179902	33
2	59	0.5	True	52488	3	1201314	29
2	59	0.80701	False	52488	3	1201314	29
2	64	0.5	True	134808	9	1282215	27
2	64	0.5	True	34481	7	1181888	27
2	64	0.86764	False	34481	7	1181888	27
2	76	0.99971	False	70	1	2328761	1033
2	76	0.95509	False	11051	4	2166771	880
2	76	0.89642	False	26467	2	1179902	33
2	77	0.5	True	575	3	1909668	689
2	77	0.99926	False	177	1	1909668	689
2	77	0.5	True	297	1	1909390	689
2	77	0.99876	False	297	1	1909390	689
2	80	0.5	True	22819	1	1778128	570
2	80	0.9099	False	22819	1	1778128	570
2	80	0.5	True	12293	9	1201688	84
2	80	0.97178	False	6873	1	1201688	84
2	80	0.5	True	3442	7	1192837	84
2	80	0.99017	False	2367	2	1192837	84
2	80	0.98793	False	2911	5	1192837	84
2	80	0.98575	False	3442	7	1192837	84
2	80	0.99731	False	645	1	1191022	87
2	80	0.97783	False	5380	3	1181888	27
2	84	0.92685	False	18323	5	1380397	197
2	91	0.5	True	2514	3	1908175	684
2	91	0.99175	False	1986	1	1908175	684
